value,
46134,2
0,2
279,2
8187,
8866,
7618,
770,
55700,
32155,
21777,
38136,
1435,
13359,
13771,
12316,
1247,
52666,
31235,
1965,
13848,
467,
3060,
3114,
2895,
223,
9323,
5482,
1140,
14850,
477,
2396,
2438,
2344,
126,
6524,
3649,
480,
13983,
410,
1806,
1885,
1773,
80,
3984,
1676,
111,
7419,
200,
1075,
1170,
1056,
39,
2067,
930,
27,
3522,
86,
341,
364,
333,
37,
807,
C,
15,
6120,
173,
920,
1034,
850,
93,
2555,
C,
71652,
97878,
3527,
31145,
32642,
29185,
2616,
133625,
76626,
333,
0,
98,
2111,
2271,
1673,
636,
11988,
3579,
168,
360,
50,
443,
462,
411,
89,
1213,
771,
21,
174,
12,
C,
65,
68,
0,
169,
36,
36,
489,
31,
261,
265,
239,
45,
375,
162,
21,
714,
59,
759,
872,
490,
C,
C,
C,
12,
663,
60,
1188,
1346,
811,
C,
2644,
C,
6,
651,
48,
C,
272,
376,
C,
C,
C,
9,
2850,
261,
1858,
1933,
1673,
286,
2099,
1050,
606,
5907,
621,
6944,
7486,
5742,
1895,
26953,
8859,
8382,
0,
154,
1993,
2004,
1796,
204,
2173,
645,
6942,
15327,
627,
3669,
3683,
3458,
241,
2675,
612,
1872,
13680,
561,
2168,
2184,
2073,
128,
1392,
375,
1884,
25053,
1118,
4407,
4435,
4356,
98,
2875,
684,
1149,
34092,
1658,
7997,
8050,
7631,
508,
5947,
1922,
372,
25515,
1335,
10615,
10746,
10291,
510,
6520,
2190,
171,
24069,
1459,
10969,
11192,
10660,
679,
9202,
2312,
141,
83955,
5284,
53126,
53879,
53118,
1508,
40714,
13877,
20916,
221694,
12196,
94944,
96174,
93383,
3875,
71498,
22617,
540,
0,
23,
2377,
2447,
2133,
361,
8615,
6118,
306,
636,
28,
156,
159,
142,
19,
435,
177,
66,
492,
24,
126,
126,
117,
20,
111,
69,
42,
549,
21,
138,
142,
129,
18,
389,
304,
33,
1029,
54,
443,
453,
389,
64,
764,
594,
15,
1185,
53,
864,
869,
789,
83,
1331,
989,
9,
1587,
83,
714,
729,
594,
156,
3112,
2736,
15,
8898,
648,
10500,
11393,
9926,
1417,
45146,
35855,
1026,
14379,
934,
15318,
16319,
14219,
2137,
59902,
46841,
29274,
0,
679,
5237,
5281,
4760,
425,
6117,
1787,
16485,
29550,
1430,
6411,
6442,
5957,
459,
3426,
1015,
2196,
15774,
801,
2934,
2948,
2855,
119,
1395,
360,
1245,
16173,
832,
3309,
3329,
3219,
140,
1601,
293,
522,
15843,
806,
3530,
3550,
3473,
137,
1658,
445,
132,
8811,
510,
2483,
2498,
2429,
115,
1381,
293,
45,
5658,
367,
1864,
1872,
1750,
125,
1268,
462,
39,
22215,
1522,
6457,
6579,
6294,
330,
3755,
624,
49938,
114027,
6947,
32224,
32500,
30737,
1849,
20602,
5278,
7896,
0,
247,
6687,
6809,
6564,
184,
3348,
609,
6009,
13263,
725,
8561,
8617,
8219,
479,
4192,
513,
1107,
7977,
399,
4162,
4195,
4000,
259,
1983,
226,
978,
13197,
702,
7999,
8044,
7951,
391,
3524,
286,
561,
16770,
986,
10457,
10539,
10140,
536,
5584,
551,
195,
12966,
769,
8637,
8759,
8540,
398,
4980,
428,
60,
8424,
532,
6995,
7085,
6670,
509,
3566,
329,
57,
24741,
1335,
23864,
23991,
23752,
409,
8344,
1116,
16869,
97341,
5695,
77361,
78040,
75835,
3164,
35521,
4058,
10881,
0,
183,
2876,
2894,
2813,
93,
1773,
583,
10479,
23283,
698,
6588,
6612,
6387,
236,
2829,
587,
2109,
14955,
470,
3422,
3436,
3336,
97,
1287,
205,
1551,
20532,
654,
5579,
5605,
5536,
57,
1711,
250,
513,
14346,
515,
4275,
4294,
4256,
73,
1317,
282,
204,
14229,
460,
4673,
4700,
4626,
76,
1212,
196,
162,
22755,
627,
6083,
6120,
5999,
142,
1812,
387,
126,
80130,
2323,
20727,
20966,
20156,
869,
9129,
2361,
26025,
190230,
5930,
54221,
54627,
53109,
1644,
21069,
4853,
5343,
0,
131,
793,
807,
774,
38,
2346,
1585,
7428,
17304,
324,
1692,
1708,
1636,
76,
1886,
1085,
2064,
14796,
299,
1071,
1081,
1039,
44,
787,
407,
2037,
26805,
556,
1674,
1688,
1731,
-31,
1350,
875,
882,
23838,
493,
1555,
1585,
1543,
56,
1509,
945,
132,
9066,
210,
664,
678,
654,
28,
968,
622,
63,
8769,
202,
698,
711,
678,
42,
1072,
746,
24,
17547,
399,
1396,
1403,
1302,
113,
1139,
714,
17970,
118122,
2615,
9544,
9660,
9357,
366,
11055,
6978,
9171,
0,
127,
1080,
1170,
943,
171,
1907,
1015,
3840,
7605,
336,
1435,
1457,
1309,
149,
1514,
790,
552,
4137,
172,
602,
611,
600,
15,
601,
295,
453,
6120,
291,
1175,
1193,
1151,
55,
1010,
474,
246,
7362,
373,
1489,
1509,
1375,
143,
1847,
1152,
111,
7842,
428,
1676,
1705,
1232,
